date,time,ID,refl_rad_min,refl_rad_avg,refl_rad_max,in_rad_min,in_rad_avg,in_rad_max
12/5/19,10:31:00,191205_RYE_B_2,69,85.5,95,321,387.93,426
12/5/19,10:32:00,191205_RYE_B_2,84,92.83,100,379,417,446
12/5/19,10:33:00,191205_RYE_B_2,91,96.6,102,411,434.13,457
12/5/19,10:34:00,191205_RYE_B_2,100,103.56,106,450,464.1,472
12/5/19,10:35:00,191205_RYE_B_2,100,104.31,106,450,467.23,472
12/5/19,10:36:00,191205_RYE_B_2,96,102.53,106,431,460.33,474
12/5/19,10:37:00,191205_RYE_B_2,98,100.66,103,439,454.3,463
12/5/19,10:38:00,191205_RYE_B_2,103,105.05,106,464,471.7,476
12/5/19,10:39:00,191205_RYE_B_2,105,105.28,106,474,475.63,476
12/5/19,10:40:00,191205_RYE_B_2,105,105.03,106,472,476.7,477
12/5/19,10:41:00,191205_RYE_B_2,105,105.35,106,475,477.38,479
12/5/19,10:42:00,191205_RYE_B_2,105,105.78,106,478,479.41,480
12/5/19,10:43:00,191205_RYE_B_2,104,105.55,106,473,480.55,482
12/5/19,10:44:00,191205_RYE_B_2,104,105.61,106,476,481.55,484
12/5/19,10:45:00,191205_RYE_B_2,106,106.78,107,484,485.03,486
12/5/19,10:46:00,191205_RYE_B_2,106,107.03,108,486,486.9,488
12/5/19,10:47:00,191205_RYE_B_2,107,107.11,108,488,489.03,490
12/5/19,10:48:00,191205_RYE_B_2,107,107.03,108,490,491.23,493
12/5/19,10:49:00,191205_RYE_B_2,100,105.73,108,460,484.8,493
12/5/19,10:50:00,191205_RYE_B_2,106,107.86,109,487,493.91,496
12/5/19,10:51:00,191205_RYE_B_2,108,108.46,109,496,497.15,498
12/5/19,10:52:00,191205_RYE_B_2,108,108.81,109,498,498.68,500
12/5/19,10:53:00,191205_RYE_B_2,109,109.25,110,500,500.95,502
12/5/19,10:54:00,191205_RYE_B_2,109,109.41,110,502,502.51,503
12/5/19,10:55:00,191205_RYE_B_2,109,109.71,110,503,503.63,504
12/5/19,10:56:00,191205_RYE_B_2,109,109.35,110,504,504.06,505
12/5/19,10:57:00,191205_RYE_B_2,109,109.15,110,502,503.8,505
12/5/19,10:58:00,191205_RYE_B_2,104,107.71,109,479,497.18,504
12/5/19,10:59:00,191205_RYE_B_2,105,108.86,110,487,503.58,506
12/5/19,11:00:00,191205_RYE_B_2,109,109.43,110,506,506.5,507
12/5/19,11:04:00,191205_RYE_B_1,80,103.25,109,404,503.6,530
12/5/19,11:05:00,191205_RYE_B_1,95,107.38,111,463,520.71,534
12/5/19,11:06:00,191205_RYE_B_1,95,104.95,108,473,511.45,526
12/5/19,11:07:00,191205_RYE_B_1,88,97.98,108,434,481.36,525
12/5/19,11:08:00,191205_RYE_B_1,94,101.71,108,461,497.05,523
12/5/19,11:09:00,191205_RYE_B_1,99,109.08,111,487,530.95,540
12/5/19,11:10:00,191205_RYE_B_1,108,110.43,112,525,536.85,542
12/5/19,11:11:00,191205_RYE_B_1,97,104.46,111,474,509.71,539
12/5/19,11:12:00,191205_RYE_B_1,89,94.48,102,435,465.6,500
12/5/19,11:13:00,191205_RYE_B_1,80,89.65,97,402,444.93,480
12/5/19,11:14:00,191205_RYE_B_1,74,91.46,102,375,452,500
12/5/19,11:15:00,191205_RYE_B_1,81,89.1,102,408,443.3,504
12/5/19,11:16:00,191205_RYE_B_1,100,107.76,112,495,528.55,545
12/5/19,11:17:00,191205_RYE_B_1,82,95.76,104,408,473.48,512
12/5/19,11:18:00,191205_RYE_B_1,92,103.66,112,457,506.51,550
12/5/19,11:19:00,191205_RYE_B_1,110,111.83,114,540,546.26,553
12/5/19,11:20:00,191205_RYE_B_1,112,112.85,113,546,551.96,553
12/5/19,11:21:00,191205_RYE_B_1,113,113.4,114,552,553.5,555
12/5/19,11:22:00,191205_RYE_B_1,113,113.41,114,554,554.58,555
12/5/19,11:23:00,191205_RYE_B_1,113,113.85,115,555,556.41,557
12/5/19,11:24:00,191205_RYE_B_1,113,113.58,114,556,557.11,559
12/5/19,11:25:00,191205_RYE_B_1,114,114.4,115,558,559.8,562
12/5/19,11:26:00,191205_RYE_B_1,112,114.13,115,548,559.5,563
12/5/19,11:27:00,191205_RYE_B_1,107,114.13,116,527,557.96,564
12/5/19,11:28:00,191205_RYE_B_1,107,110.06,114,527,541.65,555
12/5/19,11:29:00,191205_RYE_B_1,114,114.83,115,556,560.5,562
12/5/19,11:30:00,191205_RYE_B_1,114,114.43,115,561,561.36,562
12/5/19,11:31:00,191205_RYE_B_1,113,113.95,115,560,561.18,562
12/5/19,11:32:00,191205_RYE_B_1,114,114,114,561,561.86,562
12/5/19,11:33:00,191205_RYE_B_1,114,114.05,115,560,561.63,563
12/5/19,11:38:00,191205_RYE_B_3,111,112.41,113,588,589.7,591
12/5/19,11:39:00,191205_RYE_B_3,113,113.3,114,590,590.85,592
12/5/19,11:40:00,191205_RYE_B_3,112,113.26,114,590,590.88,592
12/5/19,11:41:00,191205_RYE_B_3,112,112.91,114,589,590.95,593
12/5/19,11:42:00,191205_RYE_B_3,112,112.8,113,589,591.65,593
12/5/19,11:43:00,191205_RYE_B_3,110,112.43,114,579,590.11,594
12/5/19,11:44:00,191205_RYE_B_3,112,112.86,113,590,592.86,595
12/5/19,11:45:00,191205_RYE_B_3,112,112.48,113,588,590,592
12/5/19,11:46:00,191205_RYE_B_3,112,112.46,113,588,590.63,594
12/5/19,11:47:00,191205_RYE_B_3,112,112.15,113,591,592.36,594
12/5/19,11:48:00,191205_RYE_B_3,111,112.36,113,591,593.16,596
12/5/19,11:49:00,191205_RYE_B_3,112,112.55,113,592,594.03,596
12/5/19,11:50:00,191205_RYE_B_3,112,112.46,113,592,594.25,596
12/5/19,11:51:00,191205_RYE_B_3,112,112.75,114,594,596.85,599
12/5/19,11:52:00,191205_RYE_B_3,113,113.28,114,597,599.73,601
12/5/19,11:53:00,191205_RYE_B_3,112,113.31,114,597,599.95,601
12/5/19,11:54:00,191205_RYE_B_3,109,112.8,114,583,597.63,603
12/5/19,11:55:00,191205_RYE_B_3,113,114.11,115,597,601.21,604
12/5/19,11:56:00,191205_RYE_B_3,110,113.83,115,587,601.53,607
12/5/19,11:57:00,191205_RYE_B_3,108,115.01,117,573,608.23,618
12/5/19,11:58:00,191205_RYE_B_3,115,116.38,117,600,611.08,618
12/5/19,11:59:00,191205_RYE_B_3,105,113.1,116,559,595.05,607
12/5/19,12:00:00,191205_RYE_B_3,115,115.66,117,605,609.41,613
12/5/19,12:01:00,191205_RYE_B_3,116,116.86,118,612,612.7,614
12/5/19,12:02:00,191205_RYE_B_3,114,116.03,117,603,611.58,615
12/5/19,12:03:00,191205_RYE_B_3,109,114.03,117,581,601.16,613
12/5/19,12:04:00,191205_RYE_B_3,109,112.16,114,579,594.6,604
12/5/19,12:05:00,191205_RYE_B_3,113,115.4,118,598,609.23,618
12/5/19,12:06:00,191205_RYE_B_3,107,113.33,117,571,600.3,619
12/5/19,12:07:00,191205_RYE_B_3,106,111.23,115,565,592.33,611
12/5/19,12:13:00,191205_RYE_B_4,118,118.81,119,538,539.33,540
12/5/19,12:14:00,191205_RYE_B_4,116,118.28,119,531,538.36,540
12/5/19,12:15:00,191205_RYE_B_4,118,118.73,120,536,539.03,541
12/5/19,12:16:00,191205_RYE_B_4,117,118.28,120,532,536.71,542
12/5/19,12:17:00,191205_RYE_B_4,118,118.6,120,535,538.53,541
12/5/19,12:18:00,191205_RYE_B_4,119,119.16,120,537,539.36,541
12/5/19,12:19:00,191205_RYE_B_4,117,118.7,120,531,537.95,541
12/5/19,12:20:00,191205_RYE_B_4,118,118.78,120,539,540.05,541
12/5/19,12:21:00,191205_RYE_B_4,117,118.71,119,530,538.31,542
12/5/19,12:22:00,191205_RYE_B_4,118,119.18,120,541,543.71,546
12/5/19,12:23:00,191205_RYE_B_4,109,117.61,120,503,538.28,545
12/5/19,12:24:00,191205_RYE_B_4,119,119.7,121,545,546.21,547
12/5/19,12:25:00,191205_RYE_B_4,119,119.55,120,544,545.43,547
12/5/19,12:26:00,191205_RYE_B_4,116,118.41,120,530,541.11,546
12/5/19,12:27:00,191205_RYE_B_4,118,119.2,120,539,543.65,547
12/5/19,12:28:00,191205_RYE_B_4,117,118.68,120,533,542.23,545
12/5/19,12:29:00,191205_RYE_B_4,117,119.35,121,531,542.25,548
12/5/19,12:30:00,191205_RYE_B_4,113,119.85,121,519,545.15,547
12/5/19,12:31:00,191205_RYE_B_4,102,112.68,121,468,515.25,547
12/5/19,12:32:00,191205_RYE_B_4,119,119.33,120,544,544.88,546
12/5/19,12:33:00,191205_RYE_B_4,118,119.03,120,543,544.65,546
12/5/19,12:34:00,191205_RYE_B_4,119,119.66,120,544,545.06,546
12/5/19,12:35:00,191205_RYE_B_4,119,119.76,120,545,545.65,546
12/5/19,12:36:00,191205_RYE_B_4,119,120.08,121,539,546.85,548
12/5/19,12:37:00,191205_RYE_B_4,107,117.63,121,497,539.35,548
12/5/19,12:38:00,191205_RYE_B_4,119,119.85,121,546,546.96,549
12/5/19,12:39:00,191205_RYE_B_4,119,119.28,120,546,546.68,548
12/5/19,12:40:00,191205_RYE_B_4,119,119.58,120,546,547.36,548
12/5/19,12:41:00,191205_RYE_B_4,119,119.73,120,546,547.31,548
12/5/19,12:42:00,191205_RYE_B_4,119,119.35,120,545,546.3,547
12/6/19,10:22:00,191206_RYE_A_1,85,86.48,88,423,426.75,429
12/6/19,10:23:00,191206_RYE_A_1,87,87.98,89,428,430.06,432
12/6/19,10:24:00,191206_RYE_A_1,89,89.23,90,432,432.65,434
12/6/19,10:25:00,191206_RYE_A_1,77,90.3,92,433,434.98,437
12/6/19,10:26:00,191206_RYE_A_1,92,92.5,93,437,438.85,441
12/6/19,10:27:00,191206_RYE_A_1,93,93.48,94,440,441.28,442
12/6/19,10:28:00,191206_RYE_A_1,93,94.55,95,442,444.05,445
12/6/19,10:29:00,191206_RYE_A_1,94,95.58,96,445,447,449
12/6/19,10:30:00,191206_RYE_A_1,96,96.16,97,449,449.5,451
12/6/19,10:31:00,191206_RYE_A_1,97,97.43,98,451,452.25,454
12/6/19,10:32:00,191206_RYE_A_1,98,98.11,99,453,454.5,456
12/6/19,10:33:00,191206_RYE_A_1,99,99.15,100,456,456.81,458
12/6/19,10:34:00,191206_RYE_A_1,99,99.71,100,457,459.05,460
12/6/19,10:35:00,191206_RYE_A_1,100,100.51,101,460,461.41,463
12/6/19,10:36:00,191206_RYE_A_1,101,101.58,102,463,464.3,465
12/6/19,10:37:00,191206_RYE_A_1,101,101.55,102,465,466.06,467
12/6/19,10:38:00,191206_RYE_A_1,102,102.8,104,467,468.31,470
12/6/19,10:39:00,191206_RYE_A_1,102,102.8,103,469,470.2,472
12/6/19,10:40:00,191206_RYE_A_1,103,103.61,104,472,472.96,474
12/6/19,10:41:00,191206_RYE_A_1,103,103.68,104,473,474.33,475
12/6/19,10:42:00,191206_RYE_A_1,103,104.03,105,475,476.2,478
12/6/19,10:43:00,191206_RYE_A_1,104,104.06,105,477,478.16,479
12/6/19,10:44:00,191206_RYE_A_1,104,104.11,105,479,479.93,481
12/6/19,10:45:00,191206_RYE_A_1,104,104.45,105,481,481.46,482
12/6/19,10:46:00,191206_RYE_A_1,105,105.56,106,482,483.63,485
12/6/19,10:47:00,191206_RYE_A_1,105,106.13,107,485,485.85,487
12/6/19,10:48:00,191206_RYE_A_1,106,106.46,107,487,487.61,489
12/6/19,10:49:00,191206_RYE_A_1,107,107,107,489,489.91,490
12/6/19,10:50:00,191206_RYE_A_1,106,107.21,108,490,491.28,493
12/6/19,10:51:00,191206_RYE_A_1,107,107.58,108,492,493.4,495
12/6/19,10:57:00,191206_RYE_A_2,107,107.2,108,506,507.13,508
12/6/19,10:58:00,191206_RYE_A_2,107,107.76,108,508,508.45,509
12/6/19,10:59:00,191206_RYE_A_2,107,107.71,108,509,509.61,511
12/6/19,11:00:00,191206_RYE_A_2,107,107.96,109,510,510.56,511
12/6/19,11:01:00,191206_RYE_A_2,108,108.56,109,511,512.55,514
12/6/19,11:02:00,191206_RYE_A_2,109,109.35,110,514,515.05,516
12/6/19,11:03:00,191206_RYE_A_2,109,109.98,110,516,516.85,518
12/6/19,11:04:00,191206_RYE_A_2,109,109.8,110,517,517.83,519
12/6/19,11:05:00,191206_RYE_A_2,110,110.75,111,519,520.03,522
12/6/19,11:06:00,191206_RYE_A_2,110,110.08,111,520,521.58,523
12/6/19,11:07:00,191206_RYE_A_2,110,110.85,111,522,523.65,525
12/6/19,11:08:00,191206_RYE_A_2,111,111.18,112,524,524.85,526
12/6/19,11:09:00,191206_RYE_A_2,111,112.1,113,526,527.16,529
12/6/19,11:10:00,191206_RYE_A_2,112,112.6,113,529,529.36,530
12/6/19,11:11:00,191206_RYE_A_2,112,112.16,113,530,530.81,531
12/6/19,11:12:00,191206_RYE_A_2,112,112.66,113,531,532.4,533
12/6/19,11:13:00,191206_RYE_A_2,112,112.18,113,532,533.4,535
