date,DOY,ID,cover_type,irrigation,plant_date,clear sky,LAI,VWC,plant_height,soil_L,soil_a,soil_b,soil_value,soil_alb
12/5/19,339,191205_RYE_B_1,SECE,DEC_2,10/2/19,1,0.91,0.149,5,38,21,42,3.7366767,0.143745457
12/5/19,339,191205_RYE_B_2,SECE,DEC_2,10/2/19,1,0.91,0.197,8,37,19,42,3.639695191,0.13707022
12/5/19,339,191205_RYE_B_3,SECE,DEC_2,10/2/19,1,1.23,0.112,8,39,17,42,3.831876627,0.150298068
12/5/19,339,191205_RYE_B_4,SECE,DEC_2,10/2/19,1,1.23,0.144,10,33,19,39,3.254271148,0.110541483
12/6/19,340,191206_RYE_A_1,SECE,DEC_9,10/2/19,1,1.53,0.115,9,37,17,40,3.639212817,0.137037018
12/6/19,340,191206_RYE_A_2,SECE,DEC_9,10/2/19,1,1.53,0.124,17,37,19,42,3.639695191,0.13707022
12/6/19,340,191206_RYE_A_3,SECE,DEC_9,10/2/19,1,0.73,0.117,10,41,18,44,4.025080767,0.163596309
12/6/19,340,191206_RYE_A_4,SECE,DEC_9,10/2/19,1,0.73,0.092,7,35,18,39,3.446845497,0.123796376
12/10/19,344,191210_FAL_A_1,Fallow,DEC_9,NA,1,0,0.062,0,39,20,42,3.832780262,0.150360265
12/10/19,344,191210_FAL_A_2,Fallow,DEC_9,NA,1,0,0.139,0,42,17,43,4.121502418,0.170233011
12/10/19,344,191210_FAL_B_1,Fallow,DEC_2,NA,1,0,0.068,0,39,17,42,3.831876627,0.150298068
12/10/19,344,191210_FAL_B_2,Fallow,DEC_2,NA,1,0,0.135,0,43,18,45,4.21844961,0.176905887
1/9/20,9,200109_RYE_A_1,SECE,DEC_9,10/2/19,1,1.83,0.112,7,40,18,44,3.928527345,0.156950537
1/9/20,9,200109_RYE_A_2,SECE,DEC_9,10/2/19,1,1.83,0.076,13,44,17,45,4.315063338,0.18355581
1/9/20,9,200109_RYE_A_3,SECE,DEC_9,10/2/19,1,1.83,0.105,8,43,17,45,4.218152234,0.176885418
1/9/20,9,200109_RYE_A_4,SECE,DEC_9,10/2/19,1,1.83,0.114,6,40,18,44,3.928527345,0.156950537
1/9/20,9,200109_RYE_B_1,SECE,DEC_2,10/2/19,1,0.21,0.12,9,39,20,43,3.832719917,0.150356112
1/9/20,9,200109_RYE_B_2,SECE,DEC_2,10/2/19,1,0.21,0.141,11,39,20,44,3.832661855,0.150352115
1/9/20,9,200109_RYE_B_3,SECE,DEC_2,10/2/19,1,0.21,0.158,8,32,19,37,3.157817688,0.103902591
1/9/20,9,200109_RYE_B_4,SECE,DEC_2,10/2/19,1,0.21,0.125,8,27,18,32,2.672243329,0.070480508
1/27/20,27,200127_RYE_A_1,SECE,DEC_9,10/2/19,1,1.13,0.1,13,32,18,37,3.157509547,0.103881382
1/27/20,27,200127_RYE_A_2,SECE,DEC_9,10/2/19,1,1.13,0.109,9,34,18,38,3.350498747,0.117164829
1/27/20,27,200127_RYE_A_3,SECE,DEC_9,10/2/19,1,1.13,0.093,12,36,18,40,3.543153975,0.130425288
1/27/20,27,200127_RYE_A_4,SECE,DEC_9,10/2/19,1,1.13,0.092,4,29,18,34,2.867037463,0.083888189
1/29/20,29,200129_RYE_B_1,SECE,DEC_2,10/2/19,1,0.27,0.103,15,33,20,38,3.254639294,0.110566823
1/29/20,29,200129_RYE_B_2,SECE,DEC_2,10/2/19,1,0.27,0.084,14,33,19,38,3.254329899,0.110545527
1/29/20,29,200129_RYE_B_3,SECE,DEC_2,10/2/19,1,0.27,0.167,15,31,19,36,3.061173955,0.097250603
1/29/20,29,200129_RYE_B_4,SECE,DEC_2,10/2/19,1,0.27,0.114,17,33,20,39,3.254580551,0.110562779
2/13/20,44,200213_TRI_B_1,TRITI2,DEC_2,10/2/19,0.7,0.16,0.236,9,25,16,30,2.475525323,0.056940408
2/13/20,44,200213_TRI_B_2,TRITI2,DEC_2,10/2/19,0.7,0.16,0.206,10,24,16,28,2.376965325,0.050156523
2/13/20,44,200213_TRI_B_3,TRITI2,DEC_2,10/2/19,0.7,0.1,0.252,15,20,14,23,1.9771451,0.022636897
2/17/20,48,200217_TRI_A_1,TRITI2,DEC_9,10/2/19,1,0.49,0.149,10,35,20,39,3.447456856,0.123838455
2/17/20,48,200217_TRI_A_2,TRITI2,DEC_9,10/2/19,1,0.49,0.18,5,33,17,35,3.253911019,0.110516695
2/17/20,48,200217_TRI_A_3,TRITI2,DEC_9,10/2/19,1,0.38,0.138,7,29,20,34,2.867666893,0.083931512
2/17/20,48,200217_TRI_A_4,TRITI2,DEC_9,10/2/19,1,0.38,0.145,7,34,20,37,3.351175602,0.117211417
2/17/20,48,200217_TRI_B_4,TRITI2,DEC_2,10/2/19,1,0.1,0.126,9,29,21,35,2.867924429,0.083949238
2/28/20,59,200228_RYE_A_1,SECE,DEC_9,10/2/19,1,1.97,0.206,30,21,15,23,2.078134106,0.029587971
2/28/20,59,200228_RYE_A_2,SECE,DEC_9,10/2/19,1,1.97,0.194,28,23,15,27,2.277574147,0.043315429
2/28/20,59,200228_RYE_A_3,SECE,DEC_9,10/2/19,1,1.97,0.195,26,25,17,29,2.475911077,0.056966959
2/28/20,59,200228_RYE_A_4,SECE,DEC_9,10/2/19,1,1.97,0.238,27,19,14,22,1.876038139,0.015677705
2/28/20,59,200228_RYE_B_1,SECE,DEC_2,10/2/19,1,1.8,0.091,30,32,19,36,3.157879718,0.103906861
2/28/20,59,200228_RYE_B_2,SECE,DEC_2,10/2/19,1,1.8,0.084,39,34,19,37,3.350867517,0.117190211
2/28/20,59,200228_RYE_B_3,SECE,DEC_2,10/2/19,0.7,1.8,0.106,27,38,18,42,3.735764011,0.143682637
2/28/20,59,200228_RYE_B_4,SECE,DEC_2,10/2/19,0.7,1.8,0.126,33,32,18,36,3.157571586,0.103885652
3/5/20,65,200305_TRI_A_1,TRITI2,DEC_9,10/2/19,1,1.1,0.23,24.6,22,11,23,2.177018021,0.03639415
3/5/20,65,200305_TRI_A_2,TRITI2,DEC_9,10/2/19,1,1.1,0.11,26.4,21,12,23,2.077182288,0.029522457
3/5/20,65,200305_TRI_A_3,TRITI2,DEC_9,10/2/19,1,1.1,0.15,22.7,22,15,24,2.17818413,0.036474414
3/5/20,65,200305_TRI_A_4,TRITI2,DEC_9,10/2/19,1,1.1,0.15,24.5,27,17,31,2.671995224,0.070463431
3/5/20,65,200305_TRI_B_1,TRITI2,DEC_2,10/2/19,1,1.12,0.23,20.8,19,14,22,1.876038139,0.015677705
3/5/20,65,200305_TRI_B_2,TRITI2,DEC_2,10/2/19,1,1.12,0.23,20.3,21,15,25,2.077960607,0.029576029
3/5/20,65,200305_TRI_B_3,TRITI2,DEC_2,10/2/19,1,1.12,0.33,22.9,22,15,25,2.178102267,0.036468779
3/5/20,65,200305_TRI_B_4,TRITI2,DEC_2,10/2/19,1,1.12,0.2,24.9,24,15,28,2.376649681,0.050134798
3/9/20,69,200309_FAL_A_1,Fallow,DEC_9,NA,1,0,0.34,0,23,13,23,2.076838592,0.0294988
3/9/20,69,200309_FAL_A_2,Fallow,DEC_9,NA,1,0,0.284,0,28,16,28,2.769292554,0.077160406
3/9/20,69,200309_FAL_A_3,Fallow,DEC_9,NA,1,0,0.306,0,26,16,29,2.671148518,0.070405153
3/9/20,69,200309_FAL_A_4,Fallow,DEC_9,NA,1,0,0.297,0,28,15,31,1.976692528,0.022605747
3/9/20,69,200309_FAL_B_1,Fallow,DEC_2,NA,1,0,0.305,0,25,17,29,2.078047359,0.029582
3/9/20,69,200309_FAL_B_2,Fallow,DEC_2,NA,1,0,0.29,0,31,19,35,2.077182288,0.029522457
3/9/20,69,200309_FAL_B_3,Fallow,DEC_2,NA,1,0,0.28,0,23,15,26,2.077409176,0.029538074
3/9/20,69,200309_FAL_B_4,Fallow,DEC_2,NA,1,0,0.298,0,31,17,32,2.376800497,0.050145178
3/19/20,79,200319_RYE_A_1,SECE,DEC_9,10/2/19,1,3.82,0.298,80,23,12,24,2.276877814,0.0432675
3/19/20,79,200319_TRI_A_1,TRITI2,DEC_9,10/2/19,0.7,2.61,0.287,50,16,10,18,1.56874376,-0.005473367
3/19/20,79,200319_FAL_A_1,Fallow,DEC_9,NA,0.7,0,0.342,0,20,11,22,1.976287518,0.02257787
3/19/20,79,200319_FAL_A_3,Fallow,DEC_9,NA,0.7,0,0.306,0,25,15,29,2.475281764,0.056923644
3/19/20,79,200319_FAL_B_1,Fallow,DEC_2,NA,1,0,0.267,0,31,19,34,2.078047359,0.029582
3/19/20,79,200319_FAL_B_2,Fallow,DEC_2,NA,1,0,0.278,0,31,19,35,2.376723448,0.050139875
3/19/20,79,200319_TRI_B_1,TRITI2,DEC_2,10/2/19,1,4.11,0.353,60,30,17,32,2.671593842,0.070435804
3/19/20,79,200319_TRI_B_2,TRITI2,DEC_2,10/2/19,1,4.11,0.324,55,34,19,38,2.475198645,0.056917923
3/19/20,79,200319_RYE_B_1,SECE,DEC_2,10/2/19,0.7,5.15,0.316,81,22,12,23,2.17732543,0.036415309
3/19/20,79,200319_RYE_B_2,SECE,DEC_2,10/2/19,0.7,5.15,0.306,95,22,14,24,2.177866266,0.036452535
3/24/20,84,200324_TRI_A_2,TRITI2,DEC_9,10/2/19,1,4.85,0.187,65,27,16,32,2.671617303,0.070437419
3/24/20,84,200324_TRI_A_3,TRITI2,DEC_9,10/2/19,1,4.85,0.159,60,30,17,33,2.963873995,0.090553447
3/24/20,84,200324_FAL_A_2,Fallow,DEC_9,NA,1,0,0.245,0,37,15,38,3.542451878,0.130376963
3/24/20,84,200324_FAL_A_4,Fallow,DEC_9,NA,1,0,0.232,0,36,18,39,3.542914969,0.130408837
3/24/20,84,200324_FAL_B_3,Fallow,DEC_2,NA,1,0,0.263,0,32,18,37,3.25408448,0.110528635
3/24/20,84,200324_FAL_B_4,Fallow,DEC_2,NA,1,0,0.222,0,47,15,45,2.963873995,0.090553447
3/24/20,84,200324_TRI_B_3,TRITI2,DEC_2,10/2/19,1,3.61,0.224,75,23,16,28,2.277815281,0.043332026
3/24/20,84,200324_TRI_B_4,TRITI2,DEC_2,10/2/19,1,3.61,0.201,70,30,18,35,2.964052469,0.090565731
